Prefecture	Municipality	prec_no	block_no	URL	Metric	年間	01	02	03	04	05	06	07	08	09	10	11	12
宮城県	丸森	34	1220	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=34&block_no=1220&year=&month=&day=&view=	平年日照時間(時間)	1901.2	168.1	165.4	187.2	190.7	193.3	142.2	130.4	152.5	125.9	143.0	148.7	154.6
宮城県	江ノ島	34	1290	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=34&block_no=1290&year=&month=&day=&view=	平年日照時間(時間)	2058.6	180.3	178.9	193.7	198.1	195.5	161.4	146.3	171.9	147.7	160.2	163.0	162.2
宮城県	蔵王	34	1564	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=34&block_no=1564&year=&month=&day=&view=	平年日照時間(時間)	1756.3	144.1	145.3	173.5	181.6	195.3	143.7	110.4	140.5	124.6	133.6	138.7	128.5
山形県	金山	35	0262	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=35&block_no=0262&year=&month=&day=&view=	平年日照時間(時間)	1375.5	34.7	54.0	99.5	155.7	187.3	169.2	141.6	175.3	135.2	114.3	75.2	38.9
山形県	差首鍋	35	0260	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=35&block_no=0260&year=&month=&day=&view=	平年日照時間(時間)	1378.3	35.4	54.8	102.6	152.5	192.0	165.8	138.4	174.7	131.6	115.2	74.8	37.9
山形県	鶴岡	35	0263	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=35&block_no=0263&year=&month=&day=&view=	平年日照時間(時間)	1465.3	24.6	44.7	109.2	171.1	199.3	177.1	155.0	198.5	150.8	121.5	77.7	35.8
山形県	狩川	35	0264	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=35&block_no=0264&year=&month=&day=&view=	平年日照時間(時間)	1384.7	25.9	47.3	99.1	155.5	185.8	169.4	143.3	183.3	142.1	118.6	79.6	34.8
山形県	左沢	35	0272	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=35&block_no=0272&year=&month=&day=&view=	平年日照時間(時間)	1609.5	64.0	83.0	139.0	185.1	203.3	167.2	147.6	182.1	138.8	131.0	101.1	63.0
山形県	長井	35	0275	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=35&block_no=0275&year=&month=&day=&view=	平年日照時間(時間)	1481.3	49.8	66.5	124.0	172.1	197.2	164.6	137.7	174.3	132.5	117.2	86.2	52.0
山形県	米沢	35	0279	https://www.data.jma.go.jp/stats/etrn/view/nml_amd_ym.php?prec_no=35&block_no=0279&year=&month=&day=&view=	平年日照時間(時間)	1595.8	61.5	87.1	144.5	179.9	202.2	165.3	145.7	182.6	139.6	129.8	96.9	64.9
